Season	Player	Team	GP	TOI	Shots Against	Saves	Goals Against	SV%	GAA	GSAA	xG Against	HD Shots Against	HD Saves	HD Goals Against	HDSV%	HDGAA	HDGSAA	MD Shots Against	MD Saves	MD Goals Against	MDSV%	MDGAA	MDGSAA	LD Shots Against	LD Saves	LD Goals Against	LDSV%	LDGAA	LDGSAA	Rush Attempts Against	Rebound Attempts Against	Avg. Shot Distance	Avg. Goal Distance
20082009	Antti Niemi	CHI	3	99.15	44	38	6	0.864	3.63	-2.5	3.64	10	6	4	0.6	2.42	-2.18	21	19	2	0.905	1.21	-0.39	13	13	0	1	0	0.35	4	3	28.55	14.5
20082009	Justin Pogge	TOR	7	289.4	131	111	20	0.847	4.15	-9.57	9.09	33	23	10	0.697	2.07	-4	38	32	6	0.842	1.24	-3.09	58	54	4	0.931	0.83	-2.46	12	6	37.13	21.05
20082009	Marc Denis	MTL	1	16.083333333333	4	3	1	0.75	3.73	-0.68	0.26	0	0	0	-	0	0	3	2	1	0.667	3.73	-0.77	0	0	0	-	0	0	1	0	45.75	28
20082009	Brent Krahn	DAL	1	18	9	6	3	0.667	10	-2.28	1.12	4	2	2	0.5	6.67	-1.27	2	1	1	0.5	3.33	-0.85	3	3	0	1	0	0.08	0	3	31.67	20.33
20092010	Matt Zaba	NYR	1	26.55	9	9	0	1	0	0.72	0.56	3	3	0	1	0	0.52	3	3	0	1	0	0.23	2	2	0	1	0	0.06	1	1	37.89	-
20092010	Alexander Pechurskiy	PIT	1	22.383333333333	10	10	0	1	0	0.8	0.66	1	1	0	1	0	0.17	3	3	0	1	0	0.23	6	6	0	1	0	0.17	0	1	41.5	-
20092010	Anton Khudobin	MIN	2	46.916666666667	31	30	1	0.968	1.28	1.48	2.11	11	10	1	0.909	1.28	0.91	6	6	0	1	0	0.47	12	12	0	1	0	0.34	2	3	40	13
20092010	Jonathan Bernier	L.A	3	142.71666666667	71	68	3	0.958	1.26	2.69	5.66	18	16	2	0.889	0.84	1.13	17	17	0	1	0	1.33	32	31	1	0.969	0.42	-0.09	8	3	35.68	19.33
20092010	Mike Brodeur	OTT	3	136.01666666667	64	61	3	0.953	1.32	2.13	4.4	17	15	2	0.882	0.88	0.96	14	13	1	0.929	0.44	0.09	30	30	0	1	0	0.85	4	1	34.34	19.67
20092010	Yann Danis	N.J	12	377.41666666667	166	156	10	0.94	1.59	3.31	13.76	47	40	7	0.851	1.11	1.18	41	38	3	0.927	0.48	0.2	70	70	0	1	0	1.99	14	22	38.69	25.5
20092010	Cory Schneider	VAN	2	69.183333333333	49	46	3	0.939	2.6	0.93	4.42	19	18	1	0.947	0.87	2.31	11	10	1	0.909	0.87	-0.14	16	16	0	1	0	0.46	6	6	36.06	38
20092010	Tomas Vokoun	FLA	63	2852.8333333333	1599	1496	103	0.936	2.17	25.17	120.93	419	358	61	0.854	1.28	11.91	452	426	26	0.942	0.55	9.26	691	675	16	0.977	0.34	3.67	102	147	34.72	24.06
20092010	Peter Budaj	COL	15	567.13333333333	313	293	20	0.936	2.12	5.09	24.75	82	67	15	0.817	1.59	-0.73	87	83	4	0.954	0.42	2.79	131	130	1	0.992	0.11	2.73	14	37	34.23	16.55
20092010	Tuukka Rask	BOS	45	2000.8	926	867	59	0.936	1.77	15.23	65.36	224	189	35	0.844	1.05	3.98	255	243	12	0.953	0.36	7.89	411	400	11	0.973	0.33	0.7	61	58	36.93	27.37
20092010	Jaroslav Halak	MTL	45	2053.1166666667	1059	990	69	0.935	2.02	15.89	84.8	289	245	44	0.848	1.29	6.29	236	224	12	0.949	0.35	6.41	506	493	13	0.974	0.38	1.41	50	104	34.55	20.49
20092010	Semyon Varlamov	WSH	26	1179	549	512	37	0.933	1.88	7.01	42.73	134	119	15	0.888	0.76	8.32	167	154	13	0.922	0.66	0.03	230	221	9	0.961	0.46	-2.45	26	55	35.56	28.49
20092010	Ray Emery	PHI	29	1238.4	577	538	39	0.932	1.89	7.25	47.06	161	135	26	0.839	1.26	2.02	138	129	9	0.935	0.44	1.76	256	252	4	0.984	0.19	3.29	28	64	34.36	17.77
20092010	Jonas Hiller	ANA	59	2541.4666666667	1389	1295	94	0.932	2.22	17.34	110.85	408	358	50	0.877	1.18	20.99	318	293	25	0.921	0.59	-0.19	624	605	19	0.97	0.45	-1.24	75	119	33.38	23.55
20092010	Evgeni Nabokov	S.J	71	3155.7666666667	1583	1473	110	0.931	2.09	16.89	121.55	388	315	73	0.812	1.39	-5.49	432	408	24	0.944	0.46	9.7	710	697	13	0.982	0.25	7.21	92	144	35.38	20.54
20092010	Corey Crawford	CHI	1	47.216666666667	29	27	2	0.931	2.54	0.32	1.89	8	7	1	0.875	1.27	0.39	4	3	1	0.75	1.27	-0.69	16	16	0	1	0	0.46	2	1	33.48	27
20092010	Henrik Lundqvist	NYR	73	3204.9666666667	1598	1486	112	0.93	2.1	16.09	146.67	522	451	71	0.864	1.33	19.83	478	451	27	0.944	0.51	10.29	560	549	11	0.98	0.21	4.94	71	140	30.61	22
20092010	Joey MacDonald	TOR	6	239.11666666667	115	107	8	0.93	2.01	1.22	7.8	28	23	5	0.821	1.25	-0.13	22	19	3	0.864	0.75	-1.28	61	61	0	1	0	1.74	5	11	35.63	16.88
20092010	Jose Theodore	WSH	47	1932.9166666667	982	912	70	0.929	2.17	8.71	79.12	295	255	40	0.864	1.24	11.33	278	257	21	0.924	0.65	0.69	385	376	9	0.977	0.28	1.96	49	95	34.33	27.4
20092010	Miikka Kiprusoff	CGY	73	3277.5166666667	1522	1413	109	0.928	2	13	112.26	399	331	68	0.83	1.24	1.43	353	330	23	0.935	0.42	4.54	718	702	16	0.978	0.29	4.44	75	135	36.22	24.12
20092010	Ryan Miller	BUF	69	3118.0666666667	1596	1481	115	0.928	2.21	12.93	120.37	451	384	67	0.851	1.29	11.48	391	368	23	0.941	0.44	7.5	707	682	25	0.965	0.48	-4.87	114	115	36.05	23.84
20092010	Roberto Luongo	VAN	68	2914.15	1419	1315	104	0.927	2.14	9.74	108.09	378	315	63	0.833	1.3	2.77	383	359	24	0.937	0.49	5.88	611	596	15	0.975	0.31	2.39	75	117	35.08	22.59
20092010	Ilya Bryzgalov	PHX	69	3086.05	1433	1328	105	0.927	2.04	9.86	108.43	342	280	62	0.819	1.21	-2.49	399	372	27	0.932	0.52	4.12	650	634	16	0.975	0.31	2.5	84	99	35.88	21.93
20092010	Pekka Rinne	NSH	58	2550.2333333333	1192	1105	87	0.927	2.05	8.55	90.8	313	259	54	0.827	1.27	0.46	308	286	22	0.929	0.52	2.03	535	524	11	0.979	0.26	4.23	68	98	34.37	21.78
20092010	Marty Turco	DAL	53	2374.45	1191	1103	88	0.926	2.22	7.47	84.64	284	235	49	0.827	1.24	0.42	290	270	20	0.931	0.51	2.62	586	567	19	0.968	0.48	-2.32	91	96	36.27	23.01
20092010	Jason LaBarbera	PHX	17	654.38333333333	324	300	24	0.926	2.2	1.97	22.17	78	63	15	0.808	1.38	-1.43	79	73	6	0.924	0.55	0.16	153	150	3	0.98	0.28	1.36	10	24	37.34	22.71
20092010	Cam Ward	CAR	47	1994.7166666667	1025	949	76	0.926	2.29	6.16	90.45	315	264	51	0.838	1.53	3.81	279	264	15	0.946	0.45	6.76	407	397	10	0.975	0.3	1.59	58	114	32.54	22.72
