Season	Player	Team	GP	TOI	Shots Against	Saves	Goals Against	SV%	GAA	GSAA	xG Against	HD Shots Against	HD Saves	HD Goals Against	HDSV%	HDGAA	HDGSAA	MD Shots Against	MD Saves	MD Goals Against	MDSV%	MDGAA	MDGSAA	LD Shots Against	LD Saves	LD Goals Against	LDSV%	LDGAA	LDGSAA	Rush Attempts Against	Rebound Attempts Against	Avg. Shot Distance	Avg. Goal Distance
20212022	Erik Kallgren	TOR	14	779.48333333333	385	342	43	0.888	3.31	-7.2	33.46	98	76	22	0.776	1.69	-4.04	113	98	15	0.867	1.15	-3.8	154	148	6	0.961	0.46	-0.28	29	43	35.61	19.56
20212022	Jon Gillies	N.J, STL	20	1004.75	550	488	62	0.887	3.7	-10.86	46.62	142	111	31	0.782	1.85	-4.97	160	141	19	0.881	1.13	-3.14	219	207	12	0.945	0.72	-3.86	35	45	35.18	23.4
20212022	David Rittich	NSH	17	822.93333333333	432	383	49	0.887	3.57	-8.83	38.96	118	89	29	0.754	2.11	-7.37	129	115	14	0.891	1.02	-1.21	170	165	5	0.971	0.36	1.32	23	51	32.93	20.31
20212022	Andrew Hammond	MTL, N.J	11	586.46666666667	314	276	38	0.879	3.89	-8.8	29.86	89	71	18	0.798	1.84	-1.68	94	84	10	0.894	1.02	-0.68	119	110	9	0.924	0.92	-4.58	12	40	33.69	24.84
20212022	Joonas Korpisalo	CBJ	22	1128.4833333333	634	556	78	0.877	4.15	-19.05	60.66	196	156	40	0.796	2.13	-4.07	195	167	28	0.856	1.49	-8.67	221	211	10	0.955	0.53	-1.78	36	81	32.83	20.97
20212022	Cayden Primeau	MTL	12	519.21666666667	302	262	40	0.868	4.62	-11.92	26.37	79	59	20	0.747	2.31	-5.52	95	78	17	0.821	1.96	-7.58	111	108	3	0.973	0.35	1.13	23	37	35.97	23.9
20222023	Linus Ullmark	BOS	49	2882.2	1457	1366	91	0.938	1.89	48.54	127.4	398	342	56	0.859	1.17	15.14	386	368	18	0.953	0.37	23.07	564	547	17	0.97	0.35	5.01	141	216	37.4	20.19
20222023	Filip Gustavsson	MIN	39	2310.9333333333	1173	1092	81	0.931	2.1	31.34	103.51	289	243	46	0.841	1.19	5.65	349	323	26	0.926	0.68	11.13	480	471	9	0.981	0.23	9.73	97	166	35.35	19.19
20222023	Laurent Brossoit	VGK	11	636.03333333333	317	294	23	0.927	2.17	7.36	28.25	92	80	12	0.87	1.13	4.44	98	88	10	0.898	0.94	0.43	111	110	1	0.991	0.09	3.33	30	43	33.88	19.3
20222023	Ilya Sorokin	NYI	62	3587.0666666667	1839	1699	140	0.924	2.34	36.12	185.69	575	489	86	0.85	1.44	16.77	457	422	35	0.923	0.59	13.62	714	695	19	0.973	0.32	8.87	123	361	34.26	20.21
20222023	Akira Schmid	N.J	18	901.35	408	376	32	0.922	2.13	7.07	39.02	101	83	18	0.822	1.2	0.05	115	104	11	0.904	0.73	1.24	172	169	3	0.983	0.2	3.71	19	59	36.24	17.13
20222023	Connor Hellebuyck	WPG	64	3778	1964	1807	157	0.92	2.49	31.09	189.94	541	448	93	0.828	1.48	3.7	565	523	42	0.926	0.67	18.11	744	722	22	0.97	0.35	7.04	128	281	35.62	19.21
20222023	Jeremy Swayman	BOS	37	2012.9833333333	953	877	76	0.92	2.27	15.27	93.95	276	238	38	0.862	1.13	11.33	260	231	29	0.888	0.86	-1.34	363	354	9	0.975	0.27	5.17	58	146	35.08	21.29
20222023	Juuse Saros	NSH	64	3810.7666666667	2099	1928	171	0.919	2.69	30.02	207.04	600	506	94	0.843	1.48	13.24	676	620	56	0.917	0.88	15.92	724	703	21	0.971	0.33	7.26	158	308	32.98	19.54
20222023	Ilya Samsonov	TOR	42	2475.6	1184	1088	96	0.919	2.33	17.39	112.93	322	284	38	0.882	0.92	19.55	317	273	44	0.861	1.07	-10.27	476	462	14	0.971	0.34	4.58	72	192	35.48	21.91
20222023	Jake Oettinger	DAL	62	3644.8833333333	1777	1633	144	0.919	2.37	26.18	163.58	475	398	77	0.838	1.27	7.9	469	422	47	0.9	0.77	2.9	726	706	20	0.972	0.33	8.34	102	241	35.85	19.77
20222023	Alexandar Georgiev	COL	62	3700.3333333333	1905	1749	156	0.918	2.53	26.44	173.64	553	471	82	0.852	1.33	16.84	443	397	46	0.896	0.75	1.13	805	777	28	0.965	0.45	3.42	120	276	35.27	20.49
20222023	Igor Shesterkin	NYR	58	3488.7666666667	1719	1575	144	0.916	2.48	20.63	168.77	520	443	77	0.852	1.32	15.94	482	437	45	0.907	0.77	6.28	629	607	22	0.965	0.38	2.55	177	259	33.91	20.19
20222023	Kevin Lankinen	NSH	19	1069.1666666667	583	534	49	0.916	2.75	6.83	56.83	160	139	21	0.869	1.18	7.6	161	141	20	0.876	1.12	-2.87	229	221	8	0.965	0.45	0.94	40	95	34.54	23.61
20222023	Scott Wedgewood	DAL	21	1126.7666666667	603	552	51	0.915	2.72	6.75	55.45	167	140	27	0.838	1.44	2.85	155	141	14	0.91	0.75	2.49	248	238	10	0.96	0.53	-0.32	42	80	36.39	20
20222023	Andrei Vasilevskiy	T.B	60	3596.4166666667	1875	1716	159	0.915	2.65	20.57	178.46	539	457	82	0.848	1.37	14.34	531	476	55	0.896	0.92	1.5	733	711	22	0.97	0.37	6.61	115	268	33.66	21.13
20222023	Logan Thompson	VGK	37	2173.4333333333	1132	1036	96	0.915	2.65	12.41	97	278	235	43	0.845	1.19	6.69	306	274	32	0.895	0.88	0.56	488	468	20	0.959	0.55	-0.95	91	158	36.11	22.4
